"sample","group","sign_score"
"A2333","T5",-0.689014691230769
"A2335","T5",-0.0276171864102564
"A2346","T6",0.539431159059829
"A2353","T1",0.380299546153846
"A2360","T1",0.0334536687179488
"A2375","T3",-0.31978629417094
"A2376","T2",-0.203643566777778
"A2377","T5",-0.15360815982906
"A2386","T6",-0.439246387547008
"A2387","T6",-0.146629088230769
"A2388","T5",-0.607864250854701
"A2392","T5",-0.0629191947521367
"A2397","T6",0.310519389145299
"A2400","T2",0.106261321709402
"A2403","T1",0.173236543401709
"A2405","T2",0.458266303307692
"A2419","T3",0.285131778299145
"A2420","T3",-0.0224580487863248
"A2421","T3",-0.624071082068376
"A2425","T1",-0.182149876068376
