"V1","V2","group","name"
103.685051861511,-48.8654001069047,"T1","T1-2403"
89.5661504365444,-55.4445845950397,"T1","T1-2425"
117.332998119361,-66.142628972742,"T1","T1-2360"
123.683768590056,-49.2771460807273,"T1","T1-2353"
-41.001344514245,27.1051015710348,"T2","T2-2405"
-65.5732511603841,35.7059834816557,"T2","T2-2400"
-57.9346941248704,21.7416699806143,"T2","T2-2376"
-73.3553896010792,-37.7591949440178,"T2","T2-2428"
-54.1460600579421,-4.82498086462872,"T3","T3-2419"
39.0313298566114,15.2889811018386,"T3","T3-2375"
-23.0943721788903,22.0463720883937,"T3","T3-2421"
-117.181603235949,9.7025641840823,"T3","T3-2420"
-87.3725069504624,28.1302455540659,"T4","T4-2340"
-43.1951740910713,53.6240655256632,"T4","T4-2347"
-128.496221614543,39.5861689286877,"T4","T4-2396"
-121.17564915828,26.6869282326065,"T4","T4-2417"
71.2613537781619,11.6572612723264,"T5","T5-2333"
64.7063281525015,-8.07441323802675,"T5","T5-2335"
-4.14888036418832,11.9197056347794,"T5","T5-2388"
31.3957064739919,-0.505955503404488,"T5","T5-2377"
-59.0539761722364,-36.8645641257656,"T5","T5-2392"
69.2351473821807,-22.5074168157855,"T6","T6-2386"
-21.2543321236919,44.9482450841984,"T6","T6-2387"
95.3656508080014,5.12132161056701,"T6","T6-2346"
91.7199698889117,-22.9983290034715,"T6","T6-2397"
